campaign_id,campaign_name,channel,start_date,end_date,budget,leads_generated,conversion_rate,revenue,status,impressions,clicks,ctr,engagement_score,campaign_manager,notes
CMP00001,Product Launch My,Search Engine,2023-06-02,2024-08-17,53108.27,4022,7.41,140155.63,Completed,122958,35250,28.67,4.32,Ravi Kumar,
CMP00002,Product Launch Candidate,Radio,2024-01-26,2025-07-29,27767.47,2997,0.79,22088.26,Planned,672155,25921,3.86,4.33,Amit Mehta,
CMP00003,Brand Awareness Relationship,Radio,2023-10-18,2024-01-12,30913.46,3638,9.0,90698.04,Completed,132932,26760,20.13,1.47,Amit Mehta,
CMP00004,Discount Offer Hundred,Social Media,2024-03-25,2024-06-07,62950.55,2559,7.27,49862.67,Ongoing,366838,5184,1.41,7.91,Neha Chopra,
CMP00005,Event Promotion Help,Newspaper,2023-07-28,2024-06-21,82191.05,4368,8.57,28689.56,Planned,260178,16761,6.44,4.75,Rahul Mehta,
CMP00006,Event Promotion Study,Email,2024-04-09,2025-05-09,75780.58,1769,2.56,29237.08,Completed,645167,13607,2.11,8.4,Kiran Gupta,
CMP00007,Seasonal Campaign Year,TV,2023-07-14,2024-05-24,14036.51,3964,7.65,107635.97,Completed,111268,7159,6.43,8.65,Neha Sharma,
CMP00008,Brand Awareness Car,Search Engine,2023-06-20,2024-06-25,54601.63,1753,6.44,19003.01,Planned,733180,18371,2.51,2.91,Ravi Gupta,
CMP00009,Event Promotion Mrs,Email,2024-04-23,2024-06-26,95320.39,789,4.42,15815.92,Completed,55886,45639,81.66,6.92,Sanjay Kumar,
CMP00010,Product Launch Check,Radio,2023-06-09,2024-08-22,89557.3,2277,3.03,13803.04,Planned,138337,7591,5.49,5.25,Meena Kumar,
CMP00011,Event Promotion Direction,Search Engine,2023-12-04,2024-05-01,91126.34,3082,7.46,24073.62,Planned,522430,47395,9.07,8.92,Meena Mehta,
CMP00012,Event Promotion Better,TV,2024-03-12,2024-09-07,16610.2,1409,14.03,50107.89,Ongoing,955698,14959,1.57,2.94,Priya Verma,
CMP00013,Event Promotion Late,Search Engine,2023-11-27,2024-04-25,87802.57,4887,8.05,69848.25,Completed,88498,8173,9.24,7.1,Anita Gupta,
CMP00014,Brand Awareness More,Search Engine,2024-03-20,2025-03-03,21150.79,4788,2.1,31015.04,Ongoing,900159,9177,1.02,6.47,Ravi Mehta,
CMP00015,Discount Offer Detail,Search Engine,2023-06-16,2023-08-14,79641.67,2969,3.66,58776.28,Completed,913756,21053,2.3,3.66,Rahul Sharma,
CMP00016,Product Launch Direction,Influencer,2023-09-19,2024-04-13,73006.25,3203,13.93,42684.54,Ongoing,176203,11483,6.52,2.23,Ravi Gupta,
CMP00017,Product Launch Loss,Search Engine,2023-11-24,2024-08-12,90368.32,333,2.23,4780.24,Planned,192335,49246,25.6,6.86,Vikram Kumar,
CMP00018,Brand Awareness Provide,Social Media,2024-01-30,2024-06-24,20509.29,2296,5.29,39571.81,Ongoing,279167,2453,0.88,7.65,Sanjay Patel,
CMP00019,Brand Awareness Adult,Newspaper,2024-04-07,2024-07-18,28537.06,3376,2.83,159160.88,Planned,42090,23921,56.83,3.84,Meena Reddy,
